solution_id,seed,f1,f2,f3,scheduled,unscheduled,permutation_valid,feasible
194,1566581934,13495.0,1938.0,0.8313878141546944,238,42,True,True
195,1097657231,13583.0,1762.5,1.0842444918225826,238,42,True,True
196,1960127675,13614.0,1398.0,1.6437274135192694,238,42,True,True
197,72124473,13649.0,1679.25,1.3699786454746548,237,43,True,True
198,1566581934,13649.0,1981.25,0.5249742864229368,238,42,True,True
199,1190382222,13672.0,1253.25,6.780661038613211,236,44,True,True
200,1826701614,13675.0,1902.75,0.905520850129814,238,42,True,True
201,2008052738,13688.0,1202.25,4.89155327299091,236,44,True,True
202,1960127675,13692.0,1399.0,0.9467672538371129,238,42,True,True
203,1566581934,13765.0,1923.5,0.6446436787562104,238,42,True,True
204,1826701614,13772.0,1963.25,0.3879628771314458,238,42,True,True
205,1960127675,13778.0,1534.0,0.8376461658859427,238,42,True,True
206,1642588603,13788.0,1238.5,3.74969717293281,237,43,True,True
207,1566581934,13798.0,2005.75,0.3836692035887205,238,42,True,True
208,2008052738,13810.0,1182.5,4.1941544727362405,236,44,True,True
209,2008052738,13813.0,1168.5,5.816197969868531,235,45,True,True
210,1960127675,13821.0,1326.25,2.1527978561421994,237,43,True,True
211,1566581934,13821.0,1845.75,0.5269977535560184,238,42,True,True
212,2084654369,13844.0,1263.5,1.5884291185372945,237,43,True,True
213,2008052738,13853.0,1216.5,4.145879518117341,236,44,True,True
214,1097657231,13862.0,1806.25,0.8127807938436324,237,43,True,True
215,72124473,13885.0,1292.5,1.583305957939095,237,43,True,True
216,1826701614,13917.0,1992.25,0.25909936611481094,238,42,True,True
217,1367864806,13920.0,1796.25,0.6349374203134329,237,43,True,True
218,2008052738,13927.0,1140.0,3.9076364327776076,236,44,True,True
219,1394609702,13935.0,1385.5,0.9442383274994454,237,43,True,True
220,1097657231,13951.0,1795.5,0.6549749474301194,237,43,True,True
221,1566581934,13964.0,1820.0,0.24340668177917651,238,42,True,True
222,1826701614,13968.0,2099.25,0.1807922957033813,238,42,True,True
223,1190382222,13971.0,1409.75,0.5451353079775687,237,43,True,True
224,2084654369,13975.0,1296.75,0.6808071459232166,237,43,True,True
225,2084654369,13975.0,1320.0,0.6670022161567724,237,43,True,True
226,1167425778,14036.0,1507.5,0.49713594764369534,237,43,True,True
227,1190382222,14036.0,1534.0,0.4595161824887688,237,43,True,True
228,2008052738,14060.0,1241.25,3.1522543033199493,236,44,True,True
229,1960127675,14077.0,1592.5,0.28116966516832165,237,43,True,True
230,72124473,14078.0,1274.75,0.8723983360233462,237,43,True,True
231,1642588603,14088.0,1222.5,3.210703807903652,236,44,True,True
232,2084654369,14110.0,1268.0,0.5723830092387973,237,43,True,True
233,1202413557,14148.0,1940.0,0.20975820138510884,237,43,True,True
234,72124473,14149.0,1260.5,2.6805189065606827,236,44,True,True
235,2084654369,14157.0,1246.25,1.561035656245442,236,44,True,True
236,1190382222,14192.0,1556.75,0.42682733123353855,237,43,True,True
237,846428919,14200.0,1909.5,0.1886630419688201,237,43,True,True
238,2084654369,14205.0,1300.25,0.483639817065,237,43,True,True
239,1826701614,14230.0,1950.25,0.13886228108137633,237,43,True,True
240,1826701614,14230.0,1954.5,0.13690733287077816,237,43,True,True
241,5880883,14234.0,1313.0,0.33614229136779206,237,43,True,True
242,1081530686,14241.0,1944.25,0.1442951480580216,237,43,True,True
243,1202413557,14248.0,2065.0,0.08264783148345282,237,43,True,True
244,2008052738,14253.0,1142.75,3.4384821604280007,235,45,True,True
245,1202413557,14299.0,1957.0,0.03168422181495716,237,43,True,True
246,1960127675,14310.0,1803.5,0.1815017412608671,237,43,True,True
247,2084654369,14314.0,1190.25,0.7403226712324533,236,44,True,True
248,2084654369,14314.0,1197.75,0.7398857209152515,236,44,True,True
249,1394609702,14340.0,1238.25,0.22344884237807805,237,43,True,True
250,1190382222,14349.0,1351.25,0.18109356013484193,237,43,True,True
251,1394609702,14382.0,1123.75,4.062471702104142,235,45,True,True
252,2084654369,14402.0,1182.25,3.3172967851517514,236,44,True,True
253,1081530686,14405.0,1588.5,0.15133567399086117,237,43,True,True
254,2084654369,14441.0,1215.75,0.6718198466798153,236,44,True,True
255,1826701614,14441.0,1829.5,0.14135981737876252,236,44,True,True
256,1202413557,14467.0,1915.75,0.10198928105608607,237,43,True,True
257,1642588603,14496.0,1184.5,2.896390416407825,235,45,True,True
258,1394609702,14520.0,1456.5,0.05505254294204326,237,43,True,True
259,2084654369,14544.0,1166.5,0.358386709195345,236,44,True,True
260,72124473,14583.0,1145.5,2.7600906395941442,234,46,True,True
261,2084654369,14653.0,1139.0,0.3164805932415997,236,44,True,True
262,72124473,14696.0,1120.0,2.8732660258250293,234,46,True,True
263,1642588603,14705.0,1113.5,4.722193941537439,235,45,True,True
264,2084654369,14718.0,1332.25,0.21732887010290042,236,44,True,True
265,1642588603,14766.0,1363.0,0.14678437688597556,236,44,True,True
266,2084654369,14768.0,1180.5,0.14648367960195505,236,44,True,True
267,72124473,14809.0,1127.0,1.9364042376782344,234,46,True,True
