instance,metric,config_a,config_b,wilcoxon_stat,raw_p,effect_size,effect_magnitude,mean_a,mean_b,holm_p,significant_0.05
ot_small,hv,A_baseline,B_graph_pmx,214.0,0.7151329666376114,0.07956989247311828,negligible,108592.94131666665,108407.35833749997,1.0,False
ot_small,hv,A_baseline,C_gls,229.0,0.9515264742076397,0.015053763440860216,negligible,108592.94131666665,108625.66629416666,1.0,False
ot_small,hv,A_baseline,D_graph_pmx_gls,214.0,0.7151329666376114,0.07956989247311828,negligible,108592.94131666665,108351.032465,1.0,False
ot_small,hv,B_graph_pmx,C_gls,215.0,0.7303419969975948,-0.07526881720430108,negligible,108407.35833749997,108625.66629416666,1.0,False
ot_small,hv,B_graph_pmx,D_graph_pmx_gls,174.0,0.5090155988275284,0.14285714285714285,small,108407.35833749997,108351.032465,1.0,False
ot_small,hv,C_gls,D_graph_pmx_gls,215.0,0.7303419969975948,0.07526881720430108,negligible,108625.66629416666,108351.032465,1.0,False
ot_small,igd_plus,A_baseline,B_graph_pmx,203.0,0.5561132747679949,0.12688172043010754,small,0.6553421737913208,0.524247538759641,1.0,False
ot_small,igd_plus,A_baseline,C_gls,192.0,0.4161298982799053,-0.17419354838709677,small,0.6553421737913208,0.6525985101617393,1.0,False
ot_small,igd_plus,A_baseline,D_graph_pmx_gls,207.0,0.6120056137442589,0.10967741935483871,small,0.6553421737913208,0.5535311820426956,1.0,False
ot_small,igd_plus,B_graph_pmx,C_gls,202.0,0.5425279382616282,-0.13118279569892474,small,0.524247538759641,0.6525985101617393,1.0,False
ot_small,igd_plus,B_graph_pmx,D_graph_pmx_gls,119.0,0.15129116827130748,-0.32193732193732194,medium,0.524247538759641,0.5535311820426956,0.9077470096278448,False
ot_small,igd_plus,C_gls,D_graph_pmx_gls,207.0,0.6120056137442589,0.10967741935483871,small,0.6525985101617393,0.5535311820426956,1.0,False
ot_small,spread,A_baseline,B_graph_pmx,213.0,0.7000329215079546,-0.08387096774193549,negligible,179.6396159101127,179.98388647649892,1.0,False
ot_small,spread,A_baseline,C_gls,7.0,0.463071015014588,-0.3333333333333333,medium,179.6396159101127,181.76173648100442,1.0,False
ot_small,spread,A_baseline,D_graph_pmx_gls,215.0,0.7303419969975948,-0.07526881720430108,negligible,179.6396159101127,180.05670301918448,1.0,False
ot_small,spread,B_graph_pmx,C_gls,225.0,0.8871948085725307,0.03225806451612903,negligible,179.98388647649892,181.76173648100442,1.0,False
ot_small,spread,B_graph_pmx,D_graph_pmx_gls,17.0,0.8886378608950078,0.05555555555555555,negligible,179.98388647649892,180.05670301918448,1.0,False
ot_small,spread,C_gls,D_graph_pmx_gls,226.0,0.9032264724373817,-0.02795698924731183,negligible,181.76173648100442,180.05670301918448,1.0,False
ot_medium,hv,A_baseline,B_graph_pmx,92.0,0.0029870010912418365,-0.6043010752688172,large,81140791.0883057,84268788.100813,0.005974002182483673,True
ot_medium,hv,A_baseline,C_gls,22.0,9.98377799987793e-07,0.9053763440860215,large,81140791.0883057,80551682.08280471,5.990266799926758e-06,True
ot_medium,hv,A_baseline,D_graph_pmx_gls,111.0,0.011303061619400978,-0.5225806451612903,large,81140791.0883057,83723324.50148694,0.011303061619400978,True
ot_medium,hv,B_graph_pmx,C_gls,72.0,0.0005548261106014252,0.6903225806451613,large,84268788.100813,80551682.08280471,0.0022193044424057007,True
ot_medium,hv,B_graph_pmx,D_graph_pmx_gls,28.0,2.7623027563095093e-06,0.8795698924731182,large,84268788.100813,83723324.50148694,1.3811513781547546e-05,True
ot_medium,hv,C_gls,D_graph_pmx_gls,86.0,0.0018640067428350449,-0.6301075268817204,large,80551682.08280471,83723324.50148694,0.005592020228505135,True
ot_medium,igd_plus,A_baseline,B_graph_pmx,110.0,0.010598260909318924,0.5268817204301075,large,66.55227327675829,53.61560841522368,0.03179478272795677,True
ot_medium,igd_plus,A_baseline,C_gls,7.0,5.321826524614072e-06,-0.967816091954023,large,66.55227327675829,68.83240895780918,3.1930959147684434e-05,True
ot_medium,igd_plus,A_baseline,D_graph_pmx_gls,129.0,0.03272089920938015,0.44516129032258067,medium,66.55227327675829,55.944196712832486,0.03272089920938015,True
ot_medium,igd_plus,B_graph_pmx,C_gls,90.0,0.002560090273618698,-0.6129032258064516,large,53.61560841522368,68.83240895780918,0.010240361094474792,True
ot_medium,igd_plus,B_graph_pmx,D_graph_pmx_gls,34.0,6.917864084243774e-06,-0.853763440860215,large,53.61560841522368,55.944196712832486,3.458932042121887e-05,True
ot_medium,igd_plus,C_gls,D_graph_pmx_gls,110.0,0.010598260909318924,0.5268817204301075,large,68.83240895780918,55.944196712832486,0.03179478272795677,True
ot_large,hv,A_baseline,B_graph_pmx,220.0,0.8078304156661034,-0.053763440860215055,negligible,242410253.94945985,244166242.11100242,1.0,False
ot_large,hv,A_baseline,C_gls,42.0,2.0798295736312866e-05,0.8193548387096774,large,242410253.94945985,240424089.96215147,0.00010399147868156433,True
ot_large,hv,A_baseline,D_graph_pmx_gls,215.0,0.7303419969975948,0.07526881720430108,negligible,242410253.94945985,241863322.4563456,1.0,False
ot_large,hv,B_graph_pmx,C_gls,195.0,0.4521643426269293,0.16129032258064516,small,244166242.11100242,240424089.96215147,1.0,False
ot_large,hv,B_graph_pmx,D_graph_pmx_gls,31.0,4.421919584274292e-06,0.8666666666666667,large,244166242.11100242,241863322.4563456,2.6531517505645752e-05,True
ot_large,hv,C_gls,D_graph_pmx_gls,226.0,0.9032264724373817,-0.02795698924731183,negligible,240424089.96215147,241863322.4563456,1.0,False
ot_large,igd_plus,A_baseline,B_graph_pmx,231.0,0.9838335812091827,-0.0064516129032258064,negligible,106.04226287968467,100.05138707728571,1.0,False
ot_large,igd_plus,A_baseline,C_gls,13.0,9.781652253211938e-06,-0.9402298850574713,large,106.04226287968467,111.31154694571978,4.890826126605969e-05,True
ot_large,igd_plus,A_baseline,D_graph_pmx_gls,208.0,0.6263462882488966,-0.1053763440860215,small,106.04226287968467,106.24998838488632,1.0,False
ot_large,igd_plus,B_graph_pmx,C_gls,208.0,0.6263462882488966,-0.1053763440860215,small,100.05138707728571,111.31154694571978,1.0,False
ot_large,igd_plus,B_graph_pmx,D_graph_pmx_gls,32.0,5.144625902175903e-06,-0.8623655913978494,large,100.05138707728571,106.24998838488632,3.086775541305542e-05,True
ot_large,igd_plus,C_gls,D_graph_pmx_gls,231.0,0.9838335812091827,-0.0064516129032258064,negligible,111.31154694571978,106.24998838488632,1.0,False
ot_large,spread,A_baseline,B_graph_pmx,174.0,0.23665234446525574,-0.25161290322580643,small,4617.94784279187,4698.319240339739,0.946609377861023,False
