Metric,NSGA-II mean,Graph-PMX mean,Change %,Holm p,Significant,Effect size,Effect magnitude
HV,122958299.90943488,126115466.5434834,2.567672647046956,0.10483990423381329,False,0.3419354838709677,medium
IGD+,177.7362750916481,137.38329895686027,-22.70384934869384,0.0008718203753232956,True,0.6688172043010753,large
Spread,2649.82053388137,3224.3334307847904,21.681200275925583,0.00013739429414272308,True,0.7505376344086021,large
