configuration,hv_mean,hv_std,igd_mean,igd_std,spread_mean,spread_std,front_mean
A_baseline,81140791.0883057,3961545.898457477,66.55227327675829,23.27241734992726,2250.383062300426,290.12921693803764,49.9
B_graph_pmx,84268788.100813,3742946.7894292376,53.61560841522369,19.42433234394886,2243.574716609791,242.00094644620103,49.9
C_gls,80551682.08280471,4007977.6028598305,68.83240895780918,23.06636778345613,2272.7743124257236,313.3789812546755,49.8
D_graph_pmx_gls,83723324.50148694,3849838.3236241327,55.94419671283249,20.30798007496231,2208.404199615093,236.313016043294,49.96666666666667
