instance,configuration,seed,graph_pmx,gls,evaluation_budget,front_size,hv,igd_plus,spread
ot_medium,A_baseline,0,False,False,1500,50,79256383.19553053,81.82939854434252,2214.9605992116253
ot_medium,A_baseline,1,False,False,1500,50,84425704.27912773,51.61345213476589,1957.5432091052282
ot_medium,A_baseline,2,False,False,1500,50,81721852.67144161,100.55538119633624,1893.225587393231
ot_medium,A_baseline,3,False,False,1500,50,84344846.53981397,48.10378739109215,2449.1944068447265
ot_medium,A_baseline,4,False,False,1500,50,84892584.4800057,64.09882018780378,2476.5008889071964
ot_medium,A_baseline,5,False,False,1500,50,79644741.28630191,84.7159793616832,1911.2719106923114
ot_medium,A_baseline,6,False,False,1500,47,77381770.35088123,91.99821211467781,1908.086130840939
ot_medium,A_baseline,7,False,False,1500,50,77659034.63091587,97.59368524022932,2343.640346010278
ot_medium,A_baseline,8,False,False,1500,50,80547669.17780125,52.32885206824008,2436.008604590894
ot_medium,A_baseline,9,False,False,1500,50,85226746.11861657,52.27833407098108,2092.1008863728816
ot_medium,A_baseline,10,False,False,1500,50,80562768.28677835,57.55972786387635,2199.0565850520456
ot_medium,A_baseline,11,False,False,1500,50,75056679.59979883,96.07755310178537,3114.115836691819
ot_medium,A_baseline,12,False,False,1500,50,79511545.42892233,71.94307482465463,2127.3950227010882
ot_medium,A_baseline,13,False,False,1500,50,83037323.41580579,40.28419564466831,2341.008473309195
ot_medium,A_baseline,14,False,False,1500,50,85285565.68658258,42.62636364597197,1828.4403309868328
ot_medium,A_baseline,15,False,False,1500,50,71383643.02592227,120.88375561777028,2211.0631594237166
ot_medium,A_baseline,16,False,False,1500,50,80335654.53771809,84.2539818431221,2479.5897470035793
ot_medium,A_baseline,17,False,False,1500,50,85156971.94067341,36.76545339264814,2475.973396323476
ot_medium,A_baseline,18,False,False,1500,50,80912616.67619145,73.48751083160685,1871.4380808003991
ot_medium,A_baseline,19,False,False,1500,50,78739225.4452006,71.40333505307838,2487.576356020814
ot_medium,A_baseline,20,False,False,1500,50,91651857.07517949,32.38941350007089,2503.0666382840636
ot_medium,A_baseline,21,False,False,1500,50,77493819.88655758,83.84013102706402,2003.608997508945
ot_medium,A_baseline,22,False,False,1500,50,80900826.7887081,48.83346740041699,2387.5053397454935
ot_medium,A_baseline,23,False,False,1500,50,80903891.82338655,76.90467976439156,2010.748141182376
ot_medium,A_baseline,24,False,False,1500,50,80219831.11568315,45.32171236731731,2501.4739711207535
