instance,configuration,seed,graph_pmx,gls,evaluation_budget,front_size,hv,igd_plus,spread
ot_large,A_baseline,0,False,False,1500,50,224740281.2302765,227.35571041173657,5738.325487868827
ot_large,A_baseline,1,False,False,1500,50,226383742.97629577,91.96558546852123,6478.0417373512955
ot_large,A_baseline,2,False,False,1500,50,222880380.89294696,177.7647095332688,4990.973683575772
ot_large,A_baseline,3,False,False,1500,50,243461570.11786857,79.86676223080138,5691.833616824664
ot_large,A_baseline,4,False,False,1500,50,259175271.98147047,46.94732764816835,5398.768142401575
ot_large,A_baseline,5,False,False,1500,50,202082217.36028028,153.97246996483642,5489.700701136738
ot_large,A_baseline,6,False,False,1500,50,266063058.82186347,40.612592091661405,6187.285439948637
ot_large,A_baseline,7,False,False,1500,50,258490168.8938133,37.454052488083015,5794.723749968744
ot_large,A_baseline,8,False,False,1500,50,232231890.96248984,162.75155845686652,4646.155537569792
ot_large,A_baseline,9,False,False,1500,50,241936474.50844347,90.64708544314331,4501.606455555028
ot_large,A_baseline,10,False,False,1500,50,251295117.04406226,105.76667421514877,4669.519228682148
ot_large,A_baseline,11,False,False,1500,50,239234481.09929085,118.46778689577545,5131.036346690752
ot_large,A_baseline,12,False,False,1500,50,239162648.3473183,85.84028240184499,4683.393957622716
ot_large,A_baseline,13,False,False,1500,50,259836805.8393929,38.702916751092644,5654.32475790483
ot_large,A_baseline,14,False,False,1500,50,219274089.40707144,127.78467878034004,6205.202303217978
ot_large,A_baseline,15,False,False,1500,50,256906786.23112386,81.14588756150661,4970.027307791433
ot_large,A_baseline,16,False,False,1500,50,243910920.04947504,187.1945788967827,4385.806534093452
ot_large,A_baseline,17,False,False,1500,50,252832031.94472384,64.66326792678372,6887.23881954929
ot_large,A_baseline,18,False,False,1500,50,249888702.9842552,99.54522257425836,5169.910803428932
ot_large,A_baseline,19,False,False,1500,50,241735073.41090792,131.1095581862185,4579.249503628708
ot_large,A_baseline,20,False,False,1500,50,225088054.96506655,125.47740041029608,4841.776564979317
ot_large,A_baseline,21,False,False,1500,50,252057148.39401782,113.38381800914456,4996.3972093504135
ot_large,A_baseline,22,False,False,1500,50,254315826.46848536,75.1050104101346,5508.557103272923
ot_large,A_baseline,23,False,False,1500,50,270680312.37487686,52.20134561844909,4310.392430257876
ot_large,A_baseline,24,False,False,1500,50,273155585.0792334,23.752343385269505,5090.444637769972
ot_large,A_baseline,25,False,False,1500,50,233812705.4380746,73.32850273783686,5391.292359065822
ot_large,A_baseline,26,False,False,1500,50,250291770.87200597,111.6199760738509,3900.3227529558676
ot_large,A_baseline,27,False,False,1500,50,231694626.71150476,85.57639718982877,5940.0172113585
ot_large,A_baseline,28,False,False,1500,50,240732721.87906355,150.78005000573378,5404.295486557828
ot_large,A_baseline,29,False,False,1500,50,208957152.1980961,220.4843346231573,4015.682322671837
ot_large,B_graph_pmx,0,True,False,1500,50,248796535.29793507,59.575444671279506,5377.376832672313
ot_large,B_graph_pmx,1,True,False,1500,50,249912186.81562626,153.37088681252897,4263.489593780237
ot_large,B_graph_pmx,2,True,False,1500,50,257902335.20063645,103.95884565285671,4935.129236509562
ot_large,B_graph_pmx,3,True,False,1500,50,236475917.99960387,155.1419035503516,6337.1676240286515
ot_large,B_graph_pmx,4,True,False,1500,50,238338413.2118893,117.2545881560255,5529.265170527002
ot_large,B_graph_pmx,5,True,False,1500,50,215472888.8778744,109.97136001201872,5633.313101241761
ot_large,B_graph_pmx,6,True,False,1500,50,261611295.60308,55.79694157242159,5275.952517725298
ot_large,B_graph_pmx,7,True,False,1500,50,261113144.3150165,49.91433611489651,5959.99882615231
ot_large,B_graph_pmx,8,True,False,1500,50,241090207.52123898,89.38822741895018,5898.10186720962
ot_large,B_graph_pmx,9,True,False,1500,50,258869352.19363296,61.1266662235644,4332.704993127707
ot_large,B_graph_pmx,10,True,False,1500,50,245416762.86140537,133.76652736158084,5030.095572215734
ot_large,B_graph_pmx,11,True,False,1500,50,248088304.11132795,138.6625781078176,4926.319092386924
ot_large,B_graph_pmx,12,True,False,1500,50,216987526.2475144,112.90032239505504,6389.083140156113
ot_large,B_graph_pmx,13,True,False,1500,50,256072888.15669894,73.95752072722026,5941.628629083754
ot_large,B_graph_pmx,14,True,False,1500,50,257527861.43875444,67.63132841484888,5863.113560300479
ot_large,B_graph_pmx,15,True,False,1500,50,257608787.6004367,89.57493313711065,5335.594209334921
ot_large,B_graph_pmx,16,True,False,1500,50,232019950.76610115,66.21901399454913,5031.651516040565
ot_large,B_graph_pmx,17,True,False,1500,50,232285675.76560524,163.32496730485346,3634.2013868045487
ot_large,B_graph_pmx,18,True,False,1500,50,251402354.54059637,145.60808577054146,5512.352062678443
ot_large,B_graph_pmx,19,True,False,1500,50,254149218.9475401,99.94467560724162,5238.453299581144
ot_large,B_graph_pmx,20,True,False,1500,50,259756760.77536353,50.455637206698455,6242.387897136762
ot_large,B_graph_pmx,21,True,False,1500,50,231790998.8612332,112.30597455141061,4052.798691454997
ot_large,B_graph_pmx,22,True,False,1500,50,246080019.46517587,80.57561243281789,5918.129421866594
ot_large,B_graph_pmx,23,True,False,1500,50,238128354.1289299,110.76726877015722,5520.282602751565
ot_large,B_graph_pmx,24,True,False,1500,50,252280561.16099814,39.03912794874502,6179.158626514268
ot_large,B_graph_pmx,25,True,False,1500,50,226455069.28756335,112.11802566628386,5431.433724205849
ot_large,B_graph_pmx,26,True,False,1500,50,236296844.84223816,98.89936541340121,5024.776139241457
ot_large,B_graph_pmx,27,True,False,1500,50,237657241.27062267,135.76495033423902,4649.337556219707
ot_large,B_graph_pmx,28,True,False,1500,50,219160046.5855268,139.45499501931135,6174.197498539073
ot_large,B_graph_pmx,29,True,False,1500,50,256239759.4799072,75.07150196979435,4872.6424957491245
ot_large,C_gls,0,False,True,1500,48,224861422.93560135,227.61304504334043,5738.325487868827
ot_large,C_gls,1,False,True,1500,50,224677391.04571807,97.29193800141218,6478.0417373512955
ot_large,C_gls,2,False,True,1500,50,220510173.71360725,181.4012577648888,4990.973683575772
ot_large,C_gls,3,False,True,1500,51,240431459.538403,85.47940869951502,5686.333616824664
ot_large,C_gls,4,False,True,1500,50,260932767.7143851,48.464641955694475,5393.573705402149
ot_large,C_gls,5,False,True,1500,51,197232195.60672477,183.30124430357702,5489.700701136738
ot_large,C_gls,6,False,True,1500,50,265613590.16982704,40.574359023979355,6187.285439948637
ot_large,C_gls,7,False,True,1500,51,255957660.96415848,39.162685285845626,5794.758200764847
ot_large,C_gls,8,False,True,1500,50,229536638.12105456,180.6902228809435,4623.931934366702
ot_large,C_gls,9,False,True,1500,50,241778454.2944597,92.19457727214781,4501.606455555028
ot_large,C_gls,10,False,True,1500,50,249067047.21756476,114.22723440660725,4669.519228682148
ot_large,C_gls,11,False,True,1500,50,234171170.71019375,136.3061893006227,5130.626275395053
ot_large,C_gls,12,False,True,1500,50,238921763.72755045,85.88727358984758,4683.340292822759
ot_large,C_gls,13,False,True,1500,50,258762350.16335756,43.70316361063396,5657.57475790483
ot_large,C_gls,14,False,True,1500,50,219357007.123665,127.61978500058692,6205.202303217978
ot_large,C_gls,15,False,True,1500,50,249693549.1616704,108.94852639429041,4796.492922254157
ot_large,C_gls,16,False,True,1500,50,239717380.9992754,194.2933625291602,4381.306534093452
ot_large,C_gls,17,False,True,1500,50,253015347.96540588,64.59389666060756,6887.23881954929
ot_large,C_gls,18,False,True,1500,50,249835154.00794005,99.54522257425836,5307.910803428932
ot_large,C_gls,19,False,True,1500,50,240618319.92011467,132.03382824975054,4547.242054594387
ot_large,C_gls,20,False,True,1500,50,225743094.03644502,125.57998488041113,4841.776564979317
ot_large,C_gls,21,False,True,1500,50,250541461.30111933,115.6014146915137,4996.3972093504135
ot_large,C_gls,22,False,True,1500,50,254341835.8586707,75.16846284307573,5508.807103272923
ot_large,C_gls,23,False,True,1500,48,268600187.4628644,55.17398030084308,4310.392430257876
ot_large,C_gls,24,False,True,1500,50,262893001.01852494,37.42422685920241,5047.444637769972
ot_large,C_gls,25,False,True,1500,50,231267421.66776192,73.84602228862985,5391.292359065822
ot_large,C_gls,26,False,True,1500,50,249611985.0151124,111.68643862432597,3900.3190299917333
ot_large,C_gls,27,False,True,1500,49,231283072.63210428,85.9534988051195,5939.81164563228
ot_large,C_gls,28,False,True,1500,50,235321629.7777083,154.20281863968117,5388.545486557828
ot_large,C_gls,29,False,True,1500,50,208428164.993556,221.37769789108123,4024.682322671837
ot_large,D_graph_pmx_gls,0,True,True,1500,50,247772724.55541608,61.12089858616584,5312.616226398992
ot_large,D_graph_pmx_gls,1,True,True,1500,50,250148165.09083796,153.46942780249685,4214.489593780237
ot_large,D_graph_pmx_gls,2,True,True,1500,50,254065058.09913743,114.23127268920312,4848.580186272864
ot_large,D_graph_pmx_gls,3,True,True,1500,51,236109661.48509485,156.71164947913056,6254.1676240286515
ot_large,D_graph_pmx_gls,4,True,True,1500,50,236621116.913125,117.77142474104252,5558.015170527002
ot_large,D_graph_pmx_gls,5,True,True,1500,50,214912387.3820837,119.88172073449144,5609.563101241761
ot_large,D_graph_pmx_gls,6,True,True,1500,52,258441339.5285316,56.70276558180209,5256.952517725298
ot_large,D_graph_pmx_gls,7,True,True,1500,50,259899171.54768878,49.488598510354734,5916.99882615231
ot_large,D_graph_pmx_gls,8,True,True,1500,50,236947133.68832254,94.24958022231493,5873.60186720962
ot_large,D_graph_pmx_gls,9,True,True,1500,50,256879440.53902364,64.87648934573497,4332.704993127707
ot_large,D_graph_pmx_gls,10,True,True,1500,50,244872665.65950534,134.80090032151335,5019.345572215734
ot_large,D_graph_pmx_gls,11,True,True,1500,50,245057716.9683498,141.94242246932785,4904.319092386924
ot_large,D_graph_pmx_gls,12,True,True,1500,48,217538950.22832108,108.4067249808877,6428.083140156113
ot_large,D_graph_pmx_gls,13,True,True,1500,52,256037339.05962542,74.48973236397583,5962.628629083754
ot_large,D_graph_pmx_gls,14,True,True,1500,51,254259603.29220885,76.32980628972014,6071.613560300479
ot_large,D_graph_pmx_gls,15,True,True,1500,50,253063242.6283712,98.58618588176813,5335.593481677723
ot_large,D_graph_pmx_gls,16,True,True,1500,50,231007123.38715786,68.49624690437777,5030.151516040565
ot_large,D_graph_pmx_gls,17,True,True,1500,50,226967477.7692687,219.22674641777064,3404.0613343131213
ot_large,D_graph_pmx_gls,18,True,True,1500,50,251111144.30991244,145.7002959461991,5512.352062678443
ot_large,D_graph_pmx_gls,19,True,True,1500,50,253421974.4330119,100.6367970879469,5228.535184008267
ot_large,D_graph_pmx_gls,20,True,True,1500,50,250776852.4197116,58.380631409403136,6251.637897136762
ot_large,D_graph_pmx_gls,21,True,True,1500,50,232139357.2389944,112.26942753723145,4052.798691454997
ot_large,D_graph_pmx_gls,22,True,True,1500,51,243733155.13842076,87.30340268332904,5571.855639903007
ot_large,D_graph_pmx_gls,23,True,True,1500,50,235393877.32801533,121.40322463294468,5518.282602751565
ot_large,D_graph_pmx_gls,24,True,True,1500,50,245244181.43745762,48.41816765859644,6176.658626514268
ot_large,D_graph_pmx_gls,25,True,True,1500,50,222677834.67951572,118.00642249041896,5422.227410587389
ot_large,D_graph_pmx_gls,26,True,True,1500,50,232515901.0436133,113.7887863301699,5024.776139241457
ot_large,D_graph_pmx_gls,27,True,True,1500,50,231191645.6822197,156.7662560939062,4578.337556219707
ot_large,D_graph_pmx_gls,28,True,True,1500,50,219027875.82006937,139.7492809683143,6098.584995892815
ot_large,D_graph_pmx_gls,29,True,True,1500,50,258065556.33735496,74.29436538605107,5039.6424957491245
