metric,statistic,p_value,n_runs,n_configurations,significant_0.05
hv,10.04000000000002,0.018229163098838645,30,4,True
igd_plus,13.334448160535137,0.003966434236685309,30,4,True
spread,11.077738515901048,0.011312855880541607,30,4,True
