configuration,hv_mean,hv_std,igd_mean,igd_std,spread_mean,spread_std,front_mean
A_baseline,242410253.94945985,17369131.70471969,106.04226287968467,53.11285623139218,5221.7434064350555,717.8936945912419,50.0
B_graph_pmx,244166242.11100245,13601831.47305037,100.05138707728571,35.384774654743,5350.337896174549,700.7676728728035,50.0
C_gls,240424089.9621515,17131048.98398069,111.31154694571978,54.36826745971467,5216.681791476255,722.1829947934698,49.93333333333333
D_graph_pmx_gls,241863322.45634556,13291254.718998082,106.24998838488632,39.702337493016934,5326.972524492555,719.433571407087,50.166666666666664
