instance,algorithm,seed,evaluations,runtime_seconds,front_size,hv,igd_plus,spread
Small,NSGA-II,1826701614,10000,6.610185384750366,100,112071.65345,0.01957821727019496,292.5282
Small,NSGA-II,1367864806,10000,6.702876329421997,100,112082.08474999998,0.168338187665502,264.2632
Small,NSGA-II,1097657231,10000,6.680350065231323,100,112010.42145000001,0.02678704735376032,281.5322
Small,NSGA-II,579362555,10000,7.049920320510864,100,111875.78825000001,0.3829198328690801,302.747
Small,NSGA-II,661058651,10000,6.510211944580078,100,111997.06247500001,0.3893098659815055,282.5132
Small,NSGA-II,87989972,10000,5.902620077133179,100,112286.533875,0.0118989415041783,289.2495
Small,NSGA-II,161576974,10000,6.032082796096802,100,112302.2153,0.007503509749303649,268.756
Small,NSGA-II,35492826,10000,6.007162809371948,100,112306.2147,0.009228328690807773,275.497
Small,NSGA-II,376383645,10000,5.903868913650513,100,112194.19392499999,0.007835738161559887,277.0052
Small,NSGA-II,1746484539,10000,6.198912143707275,100,111304.62467500001,0.5073717528702141,264.731
Small,NSGA-II,1394609702,10000,6.08216118812561,100,112171.09095000001,0.028697660167130382,295.4208
Small,NSGA-II,1960127675,10000,5.939881086349487,100,111346.13287500001,1.0707825348189508,276.998
Small,NSGA-II,1081530686,10000,6.155450344085693,100,112036.04652500001,0.38864846796657854,314.7827
Small,NSGA-II,1302740407,10000,6.6045732498168945,100,112417.166725,0.003329275766016698,264.248
Small,NSGA-II,2084654369,10000,6.131499290466309,100,111535.227975,0.6282757134631177,264.748
Small,NSGA-II,1566581934,10000,6.074676036834717,100,112127.29632499999,0.01309933147632305,283.006
Small,NSGA-II,1357791198,10000,6.0312066078186035,100,111808.755,0.6273598917360939,290.7822
Small,NSGA-II,1167425778,10000,6.0106940269470215,100,112142.9116,0.026650584958217104,302.7766
Small,NSGA-II,1202413557,10000,6.150879383087158,100,112284.033175,0.027080389972144528,318.5322
Small,NSGA-II,2008052738,10000,6.245004177093506,100,111927.80867500001,0.38611052924790434,223.2535
Small,NSGA-II,595598245,10000,6.002168893814087,100,112043.459525,0.020330139275765744,217.756
Small,NSGA-II,1752032165,10000,6.700314998626709,100,111682.9391,0.5123557640122774,289.7812
Small,NSGA-II,1440696407,10000,6.855556488037109,100,112213.08845,0.012347103064066863,264.262
Small,NSGA-II,5880883,10000,6.117315053939819,100,112383.416625,0.003734735376044549,281.506
Small,NSGA-II,846428919,10000,6.023747205734253,100,112265.16117500002,0.010850318263175231,319.064
Small,NSGA-II,1841261662,10000,6.005136728286743,100,112245.91494999999,0.011410668523676793,269.0282
Small,NSGA-II,1190382222,10000,5.896002769470215,100,112334.301125,0.026500752089136,283.0267
Small,NSGA-II,72124473,10000,5.93949818611145,100,112075.81215,0.020301448467966308,269.0282
Small,NSGA-II,1642588603,10000,5.910288572311401,100,112209.32322499999,0.009278328690807735,276.997
Small,NSGA-II,1566923138,10000,7.048168659210205,100,111963.50112500001,0.6791991344858104,317.6707
Small,MOEA/D,1826701614,10500,16.240906238555908,21,105282.39602500001,2.4266731873439653,46.687
Small,MOEA/D,1367864806,10500,15.148544311523438,23,105267.7241,2.428058563388527,46.685
Small,MOEA/D,1097657231,10500,13.226163148880005,22,106849.8638,2.414877950575163,46.7698
Small,MOEA/D,579362555,10500,13.294877529144287,22,101357.904075,2.4769696867425828,37.4821
Small,MOEA/D,661058651,10500,13.08345365524292,23,103645.48629999999,2.441523075923338,46.5978
Small,MOEA/D,87989972,10500,13.645283460617065,22,103226.78285,2.4450857500180567,37.577799999999996
Small,MOEA/D,161576974,10500,12.930601596832275,22,103641.350675,2.441344719377379,46.5879
Small,MOEA/D,35492826,10500,13.027411222457886,21,105273.18312500001,2.4277910703523156,46.6751
Small,MOEA/D,376383645,10500,13.516313791275024,18,102460.41345000001,3.510657688022262,45.6124
Small,MOEA/D,1746484539,10500,13.045531749725342,21,103231.325675,2.444764217984627,37.5659
Small,MOEA/D,1394609702,10500,12.925005674362183,26,100088.39532499999,3.978427655586127,46.0973
Small,MOEA/D,1960127675,10500,13.085983276367188,22,106847.000675,2.4146104575389518,46.7599
