instance,metric,config_a,config_b,mean_a,mean_b,wilcoxon_stat,raw_p,effect_size,effect_magnitude,holm_p,significant_0.05
Small,hv,NSGA-II,MOEA/D,112054.80600416669,103342.67855499996,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Small,hv,NSGA-II,PLS,112054.80600416669,109601.47063999998,36.0,9.220093488693237e-06,0.8451612903225807,large,2.7660280466079712e-05,True
Small,hv,NSGA-II,Graph-PMX NSGA-II,112054.80600416669,112059.88955500002,230.0,0.9676735773682594,-0.010752688172043012,negligible,0.9676735773682594,False
Small,hv,MOEA/D,PLS,103342.67855499996,109601.47063999998,14.0,2.0489096641540527e-07,-0.9397849462365592,large,8.195638656616211e-07,True
Small,hv,MOEA/D,Graph-PMX NSGA-II,103342.67855499996,112059.88955500002,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Small,hv,PLS,Graph-PMX NSGA-II,109601.47063999998,112059.88955500002,39.0,1.3966113328933716e-05,-0.832258064516129,large,2.793222665786743e-05,True
Small,igd_plus,NSGA-II,MOEA/D,0.20123713979791036,2.699258157802554,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Small,igd_plus,NSGA-II,PLS,0.20123713979791036,0.9663663634974659,60.0,0.00016989745199680328,-0.7419354838709677,large,0.00033979490399360657,True
Small,igd_plus,NSGA-II,Graph-PMX NSGA-II,0.20123713979791036,0.08964567416139836,160.0,0.140283040702343,0.3118279569892473,medium,0.140283040702343,False
Small,igd_plus,MOEA/D,PLS,2.699258157802554,0.9663663634974659,14.0,2.0489096641540527e-07,0.9397849462365592,large,8.195638656616211e-07,True
Small,igd_plus,MOEA/D,Graph-PMX NSGA-II,2.699258157802554,0.08964567416139836,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Small,igd_plus,PLS,Graph-PMX NSGA-II,0.9663663634974659,0.08964567416139836,39.0,1.3966113328933716e-05,0.832258064516129,large,4.189833998680115e-05,True
Small,spread,NSGA-II,MOEA/D,280.7163499999999,43.53321666666666,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Small,spread,NSGA-II,PLS,280.7163499999999,262.40232,102.0,0.0061949919909238815,0.5612903225806452,large,0.012389983981847763,True
Small,spread,NSGA-II,Graph-PMX NSGA-II,280.7163499999999,283.0448533333334,219.0,0.7921590935438871,-0.05806451612903226,negligible,0.7921590935438871,False
Small,spread,MOEA/D,PLS,43.53321666666666,262.40232,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Small,spread,MOEA/D,Graph-PMX NSGA-II,43.53321666666666,283.0448533333334,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Small,spread,PLS,Graph-PMX NSGA-II,262.40232,283.0448533333334,58.0,0.00013739429414272308,-0.7505376344086021,large,0.00041218288242816925,True
Medium,hv,NSGA-II,MOEA/D,80413445.72404943,57962791.83421486,1.0,3.725290298461914e-09,0.9956989247311828,large,1.1175870895385742e-08,True
Medium,hv,NSGA-II,PLS,80413445.72404943,60622304.89978834,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Medium,hv,NSGA-II,Graph-PMX NSGA-II,80413445.72404943,83650076.46495134,89.0,0.0023674946278333664,-0.6172043010752688,large,0.004734989255666733,True
Medium,hv,MOEA/D,PLS,57962791.83421486,60622304.89978834,146.0,0.07672121562063694,-0.3720430107526882,medium,0.07672121562063694,False
Medium,hv,MOEA/D,Graph-PMX NSGA-II,57962791.83421486,83650076.46495134,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Medium,hv,PLS,Graph-PMX NSGA-II,60622304.89978834,83650076.46495134,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Medium,igd_plus,NSGA-II,MOEA/D,147.86421437609704,48.20737706092388,3.0,9.313225746154785e-09,0.9870967741935484,large,1.862645149230957e-08,True
Medium,igd_plus,NSGA-II,PLS,147.86421437609704,383.8095617230752,1.0,3.725290298461914e-09,-0.9956989247311828,large,1.1175870895385742e-08,True
Medium,igd_plus,NSGA-II,Graph-PMX NSGA-II,147.86421437609704,128.3406298359393,149.0,0.08793856762349606,0.35913978494623655,medium,0.08793856762349606,False
Medium,igd_plus,MOEA/D,PLS,48.20737706092388,383.8095617230752,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Medium,igd_plus,MOEA/D,Graph-PMX NSGA-II,48.20737706092388,128.3406298359393,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Medium,igd_plus,PLS,Graph-PMX NSGA-II,383.8095617230752,128.3406298359393,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Medium,spread,NSGA-II,MOEA/D,2575.1824746594425,164.75038979072042,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Medium,spread,NSGA-II,PLS,2575.1824746594425,1562.5090787189185,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Medium,spread,NSGA-II,Graph-PMX NSGA-II,2575.1824746594425,2728.3468291807812,131.0,0.036434996873140335,-0.43655913978494626,medium,0.036434996873140335,True
Medium,spread,MOEA/D,PLS,164.75038979072042,1562.5090787189185,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Medium,spread,MOEA/D,Graph-PMX NSGA-II,164.75038979072042,2728.3468291807812,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Medium,spread,PLS,Graph-PMX NSGA-II,1562.5090787189185,2728.3468291807812,1.0,3.725290298461914e-09,-0.9956989247311828,large,1.1175870895385742e-08,True
Large,hv,NSGA-II,MOEA/D,458336413.77909774,204126441.26076606,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Large,hv,NSGA-II,PLS,458336413.77909774,189232437.3089062,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Large,hv,NSGA-II,Graph-PMX NSGA-II,458336413.77909774,478148814.12867063,86.0,0.0018640067428350449,-0.6301075268817204,large,0.0037280134856700897,True
Large,hv,MOEA/D,PLS,204126441.26076606,189232437.3089062,167.0,0.18396909348666668,0.2817204301075269,small,0.18396909348666668,False
Large,hv,MOEA/D,Graph-PMX NSGA-II,204126441.26076606,478148814.12867063,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Large,hv,PLS,Graph-PMX NSGA-II,189232437.3089062,478148814.12867063,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Large,igd_plus,NSGA-II,MOEA/D,505.6915144481685,121.11445576147156,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Large,igd_plus,NSGA-II,PLS,505.6915144481685,2749.841920338433,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Large,igd_plus,NSGA-II,Graph-PMX NSGA-II,505.6915144481685,452.92775988693273,146.0,0.07672121562063694,0.3720430107526882,medium,0.07672121562063694,False
Large,igd_plus,MOEA/D,PLS,121.11445576147156,2749.841920338433,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Large,igd_plus,MOEA/D,Graph-PMX NSGA-II,121.11445576147156,452.92775988693273,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Large,igd_plus,PLS,Graph-PMX NSGA-II,2749.841920338433,452.92775988693273,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Large,spread,NSGA-II,MOEA/D,6511.4601797770865,429.42395417919215,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Large,spread,NSGA-II,PLS,6511.4601797770865,2937.5706040991627,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Large,spread,NSGA-II,Graph-PMX NSGA-II,6511.4601797770865,6669.7751079636155,189.0,0.3817984350025654,-0.1870967741935484,small,0.3817984350025654,False
Large,spread,MOEA/D,PLS,429.42395417919215,2937.5706040991627,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Large,spread,MOEA/D,Graph-PMX NSGA-II,429.42395417919215,6669.7751079636155,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Large,spread,PLS,Graph-PMX NSGA-II,2937.5706040991627,6669.7751079636155,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Hidden,hv,NSGA-II,MOEA/D,122958299.90943488,36825216.21890899,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Hidden,hv,NSGA-II,PLS,122958299.90943488,56597013.75288324,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Hidden,hv,NSGA-II,Graph-PMX NSGA-II,122958299.90943488,126115466.54348342,153.0,0.10483990423381329,-0.3419354838709677,medium,0.10483990423381329,False
Hidden,hv,MOEA/D,PLS,36825216.21890899,56597013.75288324,33.0,5.973502993583679e-06,-0.8580645161290322,large,1.1947005987167358e-05,True
Hidden,hv,MOEA/D,Graph-PMX NSGA-II,36825216.21890899,126115466.54348342,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Hidden,hv,PLS,Graph-PMX NSGA-II,56597013.75288324,126115466.54348342,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Hidden,igd_plus,NSGA-II,MOEA/D,177.73627509164817,78.63658241925918,22.0,9.98377799987793e-07,0.9053763440860215,large,2.995133399963379e-06,True
Hidden,igd_plus,NSGA-II,PLS,177.73627509164817,1308.2548067746434,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Hidden,igd_plus,NSGA-II,Graph-PMX NSGA-II,177.73627509164817,137.38329895686022,77.0,0.0008718203753232956,0.6688172043010753,large,0.0008718203753232956,True
Hidden,igd_plus,MOEA/D,PLS,78.63658241925918,1308.2548067746434,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
Hidden,igd_plus,MOEA/D,Graph-PMX NSGA-II,78.63658241925918,137.38329895686022,61.0,0.00018860027194023132,-0.7376344086021506,large,0.00037720054388046265,True
Hidden,igd_plus,PLS,Graph-PMX NSGA-II,1308.2548067746434,137.38329895686022,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Hidden,spread,NSGA-II,MOEA/D,2649.82053388137,231.51934465830493,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
Hidden,spread,NSGA-II,PLS,2649.82053388137,1621.6450437682208,6.0,2.60770320892334e-08,0.9741935483870968,large,5.21540641784668e-08,True
Hidden,spread,NSGA-II,Graph-PMX NSGA-II,2649.82053388137,3224.3334307847904,58.0,0.00013739429414272308,-0.7505376344086021,large,0.00013739429414272308,True
