instance,metric,config_a,config_b,mean_a,mean_b,wilcoxon_stat,raw_p,effect_size,effect_magnitude,holm_p,significant_0.05
ot_small,hv,NSGA-II,MOEA/D,112054.80600416669,103342.67855499996,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
ot_small,hv,NSGA-II,PLS,112054.80600416669,109601.47063999998,36.0,9.220093488693237e-06,0.8451612903225807,large,2.7660280466079712e-05,True
ot_small,hv,NSGA-II,Graph-PMX NSGA-II,112054.80600416669,112059.88955500002,230.0,0.9676735773682594,-0.010752688172043012,negligible,0.9676735773682594,False
ot_small,hv,MOEA/D,PLS,103342.67855499996,109601.47063999998,14.0,2.0489096641540527e-07,-0.9397849462365592,large,8.195638656616211e-07,True
ot_small,hv,MOEA/D,Graph-PMX NSGA-II,103342.67855499996,112059.88955500002,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_small,hv,PLS,Graph-PMX NSGA-II,109601.47063999998,112059.88955500002,39.0,1.3966113328933716e-05,-0.832258064516129,large,2.793222665786743e-05,True
ot_small,igd_plus,NSGA-II,MOEA/D,0.20123713979791036,2.699258157802554,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_small,igd_plus,NSGA-II,PLS,0.20123713979791036,0.9663663634974659,60.0,0.00016989745199680328,-0.7419354838709677,large,0.00033979490399360657,True
ot_small,igd_plus,NSGA-II,Graph-PMX NSGA-II,0.20123713979791036,0.08964567416139836,160.0,0.140283040702343,0.3118279569892473,medium,0.140283040702343,False
ot_small,igd_plus,MOEA/D,PLS,2.699258157802554,0.9663663634974659,14.0,2.0489096641540527e-07,0.9397849462365592,large,8.195638656616211e-07,True
ot_small,igd_plus,MOEA/D,Graph-PMX NSGA-II,2.699258157802554,0.08964567416139836,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
ot_small,igd_plus,PLS,Graph-PMX NSGA-II,0.9663663634974659,0.08964567416139836,39.0,1.3966113328933716e-05,0.832258064516129,large,4.189833998680115e-05,True
ot_small,spread,NSGA-II,MOEA/D,280.7163499999999,43.53321666666666,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
ot_small,spread,NSGA-II,PLS,280.7163499999999,262.40232,102.0,0.0061949919909238815,0.5612903225806452,large,0.012389983981847763,True
ot_small,spread,NSGA-II,Graph-PMX NSGA-II,280.7163499999999,283.0448533333334,219.0,0.7921590935438871,-0.05806451612903226,negligible,0.7921590935438871,False
ot_small,spread,MOEA/D,PLS,43.53321666666666,262.40232,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_small,spread,MOEA/D,Graph-PMX NSGA-II,43.53321666666666,283.0448533333334,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_small,spread,PLS,Graph-PMX NSGA-II,262.40232,283.0448533333334,58.0,0.00013739429414272308,-0.7505376344086021,large,0.00041218288242816925,True
ot_medium,hv,NSGA-II,MOEA/D,80413445.72404943,57962791.83421486,1.0,3.725290298461914e-09,0.9956989247311828,large,1.1175870895385742e-08,True
ot_medium,hv,NSGA-II,PLS,80413445.72404943,60622304.89978834,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
ot_medium,hv,NSGA-II,Graph-PMX NSGA-II,80413445.72404943,83650076.46495134,89.0,0.0023674946278333664,-0.6172043010752688,large,0.004734989255666733,True
ot_medium,hv,MOEA/D,PLS,57962791.83421486,60622304.89978834,146.0,0.07672121562063694,-0.3720430107526882,medium,0.07672121562063694,False
ot_medium,hv,MOEA/D,Graph-PMX NSGA-II,57962791.83421486,83650076.46495134,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_medium,hv,PLS,Graph-PMX NSGA-II,60622304.89978834,83650076.46495134,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_medium,igd_plus,NSGA-II,MOEA/D,147.86421437609704,48.20737706092388,3.0,9.313225746154785e-09,0.9870967741935484,large,1.862645149230957e-08,True
ot_medium,igd_plus,NSGA-II,PLS,147.86421437609704,383.8095617230752,1.0,3.725290298461914e-09,-0.9956989247311828,large,1.1175870895385742e-08,True
ot_medium,igd_plus,NSGA-II,Graph-PMX NSGA-II,147.86421437609704,128.3406298359393,149.0,0.08793856762349606,0.35913978494623655,medium,0.08793856762349606,False
ot_medium,igd_plus,MOEA/D,PLS,48.20737706092388,383.8095617230752,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_medium,igd_plus,MOEA/D,Graph-PMX NSGA-II,48.20737706092388,128.3406298359393,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_medium,igd_plus,PLS,Graph-PMX NSGA-II,383.8095617230752,128.3406298359393,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
ot_medium,spread,NSGA-II,MOEA/D,2575.1824746594425,164.75038979072042,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
ot_medium,spread,NSGA-II,PLS,2575.1824746594425,1562.5090787189185,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
ot_medium,spread,NSGA-II,Graph-PMX NSGA-II,2575.1824746594425,2728.3468291807812,131.0,0.036434996873140335,-0.43655913978494626,medium,0.036434996873140335,True
ot_medium,spread,MOEA/D,PLS,164.75038979072042,1562.5090787189185,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_medium,spread,MOEA/D,Graph-PMX NSGA-II,164.75038979072042,2728.3468291807812,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_medium,spread,PLS,Graph-PMX NSGA-II,1562.5090787189185,2728.3468291807812,1.0,3.725290298461914e-09,-0.9956989247311828,large,1.1175870895385742e-08,True
ot_large,hv,NSGA-II,MOEA/D,458336413.77909774,204126441.26076606,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
ot_large,hv,NSGA-II,PLS,458336413.77909774,189232437.3089062,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
ot_large,hv,NSGA-II,Graph-PMX NSGA-II,458336413.77909774,478148814.12867063,86.0,0.0018640067428350449,-0.6301075268817204,large,0.0037280134856700897,True
ot_large,hv,MOEA/D,PLS,204126441.26076606,189232437.3089062,167.0,0.18396909348666668,0.2817204301075269,small,0.18396909348666668,False
ot_large,hv,MOEA/D,Graph-PMX NSGA-II,204126441.26076606,478148814.12867063,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_large,hv,PLS,Graph-PMX NSGA-II,189232437.3089062,478148814.12867063,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_large,igd_plus,NSGA-II,MOEA/D,505.6915144481685,121.11445576147156,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
ot_large,igd_plus,NSGA-II,PLS,505.6915144481685,2749.841920338433,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_large,igd_plus,NSGA-II,Graph-PMX NSGA-II,505.6915144481685,452.92775988693273,146.0,0.07672121562063694,0.3720430107526882,medium,0.07672121562063694,False
ot_large,igd_plus,MOEA/D,PLS,121.11445576147156,2749.841920338433,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_large,igd_plus,MOEA/D,Graph-PMX NSGA-II,121.11445576147156,452.92775988693273,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
ot_large,igd_plus,PLS,Graph-PMX NSGA-II,2749.841920338433,452.92775988693273,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
