instance,configuration,seed,graph_pmx,gls,evaluation_budget,front_size,hv,igd_plus,spread
ot_small,A_baseline,0,False,False,1500,50,108781.43519999999,0.6422499986593849,184.99994998010135
ot_small,A_baseline,1,False,False,1500,50,109606.48045,0.5339735031847147,191.53962758656496
ot_small,A_baseline,2,False,False,1500,50,110049.087725,0.37394484052117866,180.28274046311256
ot_small,A_baseline,3,False,False,1500,50,104731.58275,1.2306945232452053,173.2060971790543
ot_small,A_baseline,4,False,False,1500,50,111995.28695000001,0.17323235668789827,190.92282088844172
ot_small,A_baseline,5,False,False,1500,50,110554.264025,0.2213719998803034,201.4352332736257
ot_small,A_baseline,6,False,False,1500,50,109914.37577500001,0.4961719665135949,191.16286957461168
ot_small,A_baseline,7,False,False,1500,50,105862.506475,0.614498315567951,152.9281886450304
ot_small,A_baseline,8,False,False,1500,50,107171.01830000001,0.8371132663865342,204.9266171059533
ot_small,A_baseline,9,False,False,1500,50,105685.20490000001,1.6425741017624549,196.1764638303994
ot_small,A_baseline,10,False,False,1500,50,108974.957525,2.7095407709304675,193.521148296743
ot_small,A_baseline,11,False,False,1500,50,110359.75684999999,0.18635173567673635,144.6852122507342
ot_small,A_baseline,12,False,False,1500,50,110587.559825,0.19197573559768155,158.9906631228702
ot_small,A_baseline,13,False,False,1500,50,108029.29045,0.32970802171462427,188.98297737097909
ot_small,A_baseline,14,False,False,1500,50,110925.60687500001,0.11769306788933005,153.71252261608356
ot_small,A_baseline,15,False,False,1500,50,106090.13662500001,2.6743922351449982,135.52531419863965
ot_small,A_baseline,16,False,False,1500,48,110905.72825,0.3988464022388326,193.35726229508424
ot_small,A_baseline,17,False,False,1500,50,110610.47112500001,0.23514752876036496,194.0123687423047
ot_small,A_baseline,18,False,False,1500,50,111583.120675,0.18886113189023987,188.21742614327718
ot_small,A_baseline,19,False,False,1500,50,110020.24165000001,0.8761613589048965,196.8239200560999
ot_small,A_baseline,20,False,False,1500,50,107824.70105,0.7448130085240785,169.6819860982597
ot_small,A_baseline,21,False,False,1500,50,107926.2016,0.2972985033893512,155.42100682018503
