instance,algorithm,seed,evaluations,runtime_seconds,front_size,hv,igd_plus,spread
ot_large,NSGA-II,1826701614,10000,120.26954531669617,100,421554134.10346675,640.2935530697541,6543.134140176976
ot_large,NSGA-II,1367864806,10000,92.8145604133606,100,441344231.0474396,611.6708483324082,5940.041426508581
ot_large,NSGA-II,1097657231,10000,90.59380221366882,100,456078712.3658494,420.04743816609994,7182.668976366458
ot_large,NSGA-II,579362555,10000,88.70244526863098,100,471434159.4821948,404.2534640457441,6888.94466843695
ot_large,NSGA-II,661058651,10000,87.77189421653748,100,450233031.23170185,399.7106684679151,6380.117163988548
ot_large,NSGA-II,87989972,10000,86.15396642684937,100,455411723.54504406,584.0480143381743,6007.202113642072
ot_large,NSGA-II,161576974,10000,84.69425702095032,100,493707834.06343913,455.79705819330445,5763.224594636184
ot_large,NSGA-II,35492826,10000,84.24017238616943,100,427757626.65423936,355.28731520240285,7103.623032356564
ot_large,NSGA-II,376383645,10000,87.20623826980591,100,440405900.50550723,671.9288290316091,6168.7775970040375
ot_large,NSGA-II,1746484539,10000,84.70867848396301,100,452116472.54468364,452.409617419216,7527.440957313981
ot_large,NSGA-II,1394609702,10000,85.21469950675964,100,498496290.4915416,505.0712706209608,5865.599802583152
ot_large,NSGA-II,1960127675,10000,85.76657485961914,100,475159392.24788195,483.5769868736177,6092.9513767696235
ot_large,NSGA-II,1081530686,10000,85.02830791473389,100,477787940.122721,553.2026774785926,6571.300472490536
ot_large,NSGA-II,1302740407,10000,83.70478963851929,100,489134992.4105011,403.7082635554485,6893.6863113829095
ot_large,NSGA-II,2084654369,10000,83.50538468360901,100,449591800.6216223,551.0068758714021,6460.836550579367
ot_large,NSGA-II,1566581934,10000,84.37222361564636,100,416611606.01531756,592.4055293110813,6468.3079090055835
ot_large,NSGA-II,1357791198,10000,84.22740244865417,100,414978974.3054782,734.5892169763299,6803.4119380945995
ot_large,NSGA-II,1167425778,10000,83.67377424240112,100,478015984.74598825,492.89353297658874,5043.215576809949
ot_large,NSGA-II,1202413557,10000,85.8052830696106,100,493258430.067032,365.529863002951,6224.849111166256
ot_large,NSGA-II,2008052738,10000,85.59068822860718,100,448310852.3039373,598.0413787879444,6033.191307674058
ot_large,NSGA-II,595598245,10000,83.96644902229309,100,457833418.8172226,537.7346663913138,6977.906422840362
ot_large,NSGA-II,1752032165,10000,85.30665397644043,100,430893961.7777455,652.2575998178336,6234.4988250297765
ot_large,NSGA-II,1440696407,10000,93.70939540863037,100,450105000.7576206,555.6955970036092,6395.981759513306
ot_large,NSGA-II,5880883,10000,90.4498016834259,100,497900289.0093277,364.1966160020538,6785.692256910903
ot_large,NSGA-II,846428919,10000,87.65831017494202,100,451270577.6862942,525.7530044706162,6198.598207424712
ot_large,NSGA-II,1841261662,10000,90.88734841346741,100,423003209.42516804,454.5288686052726,6529.130119612957
ot_large,NSGA-II,1190382222,10000,87.92139601707458,100,497136091.71814364,533.5371518829459,6011.447215384228
ot_large,NSGA-II,72124473,10000,86.03465056419373,100,460017365.6268803,362.06455081958893,6318.126334355445
ot_large,NSGA-II,1642588603,10000,85.6813440322876,100,482483030.25423545,522.2330982941202,7879.217606753811
ot_large,NSGA-II,1566923138,10000,90.16172051429749,100,448059379.4247062,387.27187843615593,8050.68161850068
ot_large,MOEA/D,1826701614,10500,115.92068672180176,34,166307412.07445106,120.81148078964404,267.80637706168517
ot_large,MOEA/D,1367864806,10500,113.6746437549591,46,152841312.92769656,98.33034013836945,336.84249064046827
ot_large,MOEA/D,1097657231,10500,109.29802584648132,61,203212873.5858475,57.972825867389275,272.17808103337416
