algorithm,hv_mean,hv_std,igd_mean,igd_std,spread_mean,spread_std,front_mean,eval_mean,runtime_mean
Graph-PMX NSGA-II,478148814.1286705,19183166.392480183,452.9277598869328,120.13667384498561,6669.7751079636155,709.7472812552287,100.0,10000.0,218.51527434190115
MOEA/D,204126441.26076606,49444231.83682054,121.11445576147158,63.61378541238444,429.42395417919215,123.05545742212766,51.733333333333334,10500.0,108.58227604230245
NSGA-II,458336413.7790977,25561276.223795302,505.6915144481685,102.91153541541749,6511.460179777086,631.3326646527622,100.0,10000.0,87.86072526772817
PLS,189232437.30890617,34657013.6790209,2749.8419203384324,405.8368377613627,2937.5706040991627,743.4819603163019,78.96666666666667,10000.0,62.70056155522664
