algorithm,hv_mean,hv_std,igd_mean,igd_std,spread_mean,spread_std,front_mean,eval_mean,runtime_mean
Graph-PMX NSGA-II,83650076.46495132,2994379.4757875027,128.34062983593927,28.33371799104237,2728.3468291807812,297.8615995103701,100.0,10000.0,37.46852598985036
MOEA/D,57962791.83421486,9361451.852079881,48.20737706092387,23.994945294613526,164.7503897907204,100.0074204077647,36.36666666666667,10500.0,47.64407459894816
NSGA-II,80413445.72404942,3668997.882546441,147.864214376097,38.503469296910396,2575.182474659443,291.4919563371351,99.9,10000.0,34.79916810194651
PLS,60622304.89978835,4763146.808919002,383.80956172307526,84.73050495977907,1562.5090787189188,226.40955066986933,111.06666666666666,10000.0,24.595326312383015
