algorithm,hv_mean,hv_std,igd_mean,igd_std,spread_mean,spread_std,front_mean,eval_mean,runtime_mean
Graph-PMX NSGA-II,126115466.54348342,6410970.225144009,137.38329895686022,35.867031561361266,3224.3334307847904,488.64251277991167,100.0,10000.0,63.947404487927756
MOEA/D,36825216.21890898,14859301.559571974,78.63658241925921,61.56249897964819,231.51934465830496,76.177138117266,41.06666666666667,10500.0,75.56678182284037
NSGA-II,122958299.9094349,6226968.889198213,177.73627509164814,50.9779381961666,2649.82053388137,445.24728419509216,99.93333333333334,10000.0,56.44768898487091
PLS,56597013.75288324,11790095.702389661,1308.2548067746436,286.72433554396224,1621.6450437682206,492.1264388381802,55.53333333333333,10000.0,39.581600268681846
