instance,algorithm,seed,evaluations,runtime_seconds,front_size,hv,igd_plus,spread
ot_medium,NSGA-II,1826701614,10000,40.35035562515259,100,86093105.28996953,113.5847309740122,2425.053110420529
ot_medium,NSGA-II,1367864806,10000,34.371774673461914,100,75509347.88079414,203.65904577050662,2107.117443371352
ot_medium,NSGA-II,1097657231,10000,32.19903635978699,100,82417523.53416789,98.87543505619298,2687.3905174267093
ot_medium,NSGA-II,579362555,10000,32.711631536483765,100,77995999.79850936,150.59192486072487,3000.99303209103
ot_medium,NSGA-II,661058651,10000,32.749608278274536,100,81874851.60206142,189.42671626828724,2441.030684953718
ot_medium,NSGA-II,87989972,10000,32.169859170913696,100,77817169.94982031,209.48268298667242,2709.4292019548852
ot_medium,NSGA-II,161576974,10000,32.1593976020813,100,83025427.65506472,114.94103634625185,2397.523136212534
ot_medium,NSGA-II,35492826,10000,32.76826357841492,100,79910340.71598665,102.40689529161821,2654.15467650824
ot_medium,NSGA-II,376383645,10000,32.556886196136475,100,83602923.56998356,130.6249736776597,2414.2758787246266
ot_medium,NSGA-II,1746484539,10000,33.031625747680664,100,77906008.61722425,139.6599814813434,2922.4971145974437
ot_medium,NSGA-II,1394609702,10000,31.452456951141357,100,82015198.72958899,158.91894998009812,3039.46208297669
ot_medium,NSGA-II,1960127675,10000,32.851988077163696,98,84862120.65463433,100.43204747372684,2367.33109980934
ot_medium,NSGA-II,1081530686,10000,31.400753021240234,100,78066645.39791325,176.0350637937173,2258.7728616137397
ot_medium,NSGA-II,1302740407,10000,31.572176218032837,100,78419234.93442541,157.4753979616482,2109.041380610872
ot_medium,NSGA-II,2084654369,10000,35.07136368751526,99,74686740.27670091,189.74551756322722,2497.964599244177
ot_medium,NSGA-II,1566581934,10000,33.10834765434265,100,81936622.80673888,125.68829429632328,2755.432557804606
ot_medium,NSGA-II,1357791198,10000,35.92407488822937,100,76640626.18640245,220.87918449470493,2497.1017213082023
ot_medium,NSGA-II,1167425778,10000,37.0007209777832,100,80283935.77959579,157.4272639299777,2223.1203143211937
ot_medium,NSGA-II,1202413557,10000,35.97204113006592,100,82272498.83548543,162.09185152500666,2058.2951057154164
ot_medium,NSGA-II,2008052738,10000,33.175557136535645,100,84101325.38163443,131.55479296843944,2282.234267583573
ot_medium,NSGA-II,595598245,10000,38.946404695510864,100,80842033.63998297,149.52712798755667,3050.8165759171297
ot_medium,NSGA-II,1752032165,10000,34.166621685028076,100,89506812.64542125,69.84254821807852,2523.1265013273123
ot_medium,NSGA-II,1440696407,10000,34.442670583724976,100,82143849.78902492,141.98140334570485,3131.7390085689512
ot_medium,NSGA-II,5880883,10000,38.16403293609619,100,73931917.32268049,202.5916912203942,2734.6850904453026
ot_medium,NSGA-II,846428919,10000,31.65921187400818,100,82894517.49254015,89.74420177619139,2556.4666624225474
ot_medium,NSGA-II,1841261662,10000,32.358752489089966,100,74379921.4942675,182.08726971653456,2920.521700538959
ot_medium,NSGA-II,1190382222,10000,44.03850436210632,100,81266000.66097923,164.39515762459325,2535.3404539891453
ot_medium,NSGA-II,72124473,10000,40.68243885040283,100,80216356.03228658,127.34028614688086,2581.4854286193904
ot_medium,NSGA-II,1642588603,10000,38.69098424911499,100,81867847.36008367,112.12512380704808,2672.8375330800886
ot_medium,NSGA-II,1566923138,10000,38.22750282287598,100,75916467.68751441,162.78983473978823,2700.2344976255895
ot_medium,MOEA/D,1826701614,10500,69.23564672470093,34,51945181.30668514,41.09112005377701,344.7789141475147
ot_medium,MOEA/D,1367864806,10500,50.66317272186279,46,51800166.596487045,57.543375432312146,102.68632197464254
ot_medium,MOEA/D,1097657231,10500,49.028881788253784,24,76089325.24850139,31.012121450081082,254.64879422427896
ot_medium,MOEA/D,579362555,10500,44.55496263504028,53,54950986.1344736,57.45498269003979,311.25474873004816
ot_medium,MOEA/D,661058651,10500,44.37637138366699,22,67845108.86570452,87.9382462558338,70.9579880905342
ot_medium,MOEA/D,87989972,10500,43.83191895484924,25,56908875.901550815,25.671191530817225,168.17622168008677
ot_medium,MOEA/D,161576974,10500,47.46515893936157,32,55706891.42386738,46.30434026948706,51.702212165667234
ot_medium,MOEA/D,35492826,10500,69.15011835098267,30,57692915.53787251,51.972603850821805,74.27857390272018
ot_medium,MOEA/D,376383645,10500,59.53128385543823,36,58710199.92780017,21.016506276264735,84.212210975582
ot_medium,MOEA/D,1746484539,10500,46.86320161819458,58,51756400.987407774,76.61705862805252,97.5393700276816
ot_medium,MOEA/D,1394609702,10500,47.556782960891724,29,64152638.50652234,34.63295927313559,289.8172745324089
ot_medium,MOEA/D,1960127675,10500,47.443320989608765,42,50079646.9242953,104.05117914503936,14.165255882646193
ot_medium,MOEA/D,1081530686,10500,45.054513692855835,21,50473765.577497296,82.64705033304001,282.84179823617063
